Base de datos Parkinsons,,,,
Arquitectura,Media Error Train,Desv. Tipica Error Train,Media Error Test,Desv. Tipica Error Test
1,0.0343992,9.38514e-06,0.0371213,9.13403e-05
2,0.0257571,0.000242337,0.0255326,8.04128e-05
3,0.0207401,0.00149025,0.0216091,0.0015686
4,0.0154767,0.000518124,0.0173277,0.000980353
5,0.0147414,0.000632241,0.0164462,0.000540946
6,0.0133494,0.000380026,0.0155019,0.000628582
7,0.0315812,0.000894328,0.032942,0.000926471
8,0.0234318,0.0014714,0.0239546,0.00123368
9,0.0146101,0.00204368,0.0154939,0.00246286
10,0.00903581,0.00131826,0.0112496,0.00153763
11,0.00777673,0.00121271,0.0101671,0.00159433
12,0.00878881,0.00585147,0.010591,0.00506543
