Base de datos Quake,,,,
Arquitectura,Media Error Train,Desv. Tipica Error Train,Media Error Test,Desv. Tipica Error Test
1,0.0301022,7.06987e-05,0.027198,5.85502e-05
2,0.029967,5.33303e-05,0.0270686,8.04283e-05
3,0.029916,9.88792e-05,0.027052,7.48808e-05
4,0.0297653,2.91166e-05,0.026971,2.59938e-05
5,0.0297662,3.47861e-05,0.0270388,3.04479e-05
6,0.0297446,5.52488e-05,0.0270129,3.55988e-05
7,0.030148,4.05299e-05,0.0272508,4.38807e-05
8,0.0301119,3.07848e-05,0.0272228,3.27004e-05
9,0.0300999,7.20564e-05,0.0271879,8.2355e-05
10,0.0298273,8.00825e-05,0.0269784,4.39127e-05
11,0.0295095,7.63962e-05,0.0270458,5.78271e-05
12,0.0294047,1.42461e-05,0.0271243,1.80462e-05
