Problema XOR,,,,
Arquitectura,Media error Train,Desv. Tipica Error Train,Media Error Test,Desv. Típica Error Test
1,0.163856,0.0679974,0.163856,0.0679974
2,0.114261,0.0503647,0.114261,0.0503647
3,0.0729932,0.0451338,0.0729932,0.0451338
4,0.0145238,0.00147088,0.0145238,0.00147088
5,0.0092896,0.00141946,0.0092896,0.00141946
6,0.0560035,0.108989,0.0560035,0.108989
7,0.248265,0.0025696,0.248265,0.00256974
8,0.24818,0.00217344,0.24818,0.00217344
9,0.187008,0.0612925,0.187008,0.0612925
10,0.00794549,0.00143486,0.00794549,0.00143486
11,0.00292618,0.000142574,0.00292618,0.000142574
12,0.00170192,0.000128624,0.00170192,0.000128624
