Arquitectura,Media Er. Train,Desv. T. Er. Train,Media Er. Test,Desv. T. Er. Test
{n:4:k},0.0127732,0.0014511,0.0754522,0.00331376
{n:8:k},0.007861,0.00042503,0.0861968,0.0278996
{n:16:k},0.00684604,0.00027324,0.0810334,0.0112191
{n:64:k},0.00604097,7.96828e-05,0.0967366,0.013045
{n:4:4:k},0.000198808,1.74882e-05,0.00020178,2.06528e-05
{n:8:8:k},0.000128349,1.74434e-05,0.000130375,2.15789e-05
{n:16:16:k},8.09353e-05,9.13043e-06,8.14587e-05,1.05338e-05
{n:64:64:k},7.83771e-06,1.03164e-05,6.70102e-06,8.96419e-06
,,,,
Arquitectura,Media CCR Train,Desv. T. CCR Train,Media CCR Test,Desv. T. CCR Test
{n:4:k},99.0798,0,95.7798,1.04603
{n:8:k},99.3865,0,95.9633,1.04603
{n:16:k},99.3865,0,96.3303,1.12362
{n:64:k},99.3865,0,95.7798,1.04603
{n:4:4:k},61.3497,0,61.4679,0
{n:8:8:k},63865,4.52077,64.5872,6.47423
{n:16:16:k},75.0307,10.2074,76.1468,13.7767
{n:64:64:k},65.8282,10.0143,65.1376,8.20575
